s/w_ratio,snippets,words,volid,date,author,title
0.00023340967774876365,16,68549,mdp.39015063960531,1912,"Stevenson, Burton Egbert,",The mystery of the Boule cabinet;
0.00023293113890016573,35,150259,uc1.b3322613,1907,"Harte, Bret,",The writings of Bret Harte
0.00023255475937849742,16,68801,00010936,1949,"Eberhart, Mignon Good",House of storm
0.0002322150584635559,34,146416,uc1.b3548143,1920,"Hardy, Thomas,","The writings of Thomas Hardy in prose and verse, with prefaces and notes"
0.0002321011342008758,15,64627,00010598,1940,"Carr, John Dickson",The man who could not shudder
0.00023191094619666049,2,8624,00010590,1939,"Taylor, Kathrine Kressmann",Address unknown
0.00023122914808575297,7,30273,00010485,1936,"Cather, Willa",Not under forty
0.00023021014897885357,7,30407,00010864,1947,"Nathan, Robert",Mr. Whittle and the morning star
0.00022977941176470588,12,52224,00010881,1948,"Ballard, Todhunter",Dealing out death
0.00022949403315513796,34,148152,uc2.ark:/13960/t9k35nf5k,1914,<blank>,Selected English short stories
0.00022936218199889143,24,104638,mdp.39015011506139,1918,"Lewis, Wyndham,",Tarr
0.0002288787800761022,32,139812,uva.x002313330,1909,"Gautier, Théophile,",[Works of Gautier]
0.00022876783412658115,41,179221,uc2.ark:/13960/t6sx65k77,1915,"Churchill, Winston,",A far country
0.0002285992959141686,15,65617,nyp.33433082532288,1907,"Warde, Margaret.","Betty Wales, senior;"
0.00022752204119774104,28,123065,inu.32000001676586,1900,"Defoe, Daniel,","The life and strange, surprising adventures of Robinson Crusoe, of York, mariner"
0.00022650056625141563,19,83885,00010432,1934,"Carr, John Dickson",The blind barber
0.0002258428778835296,7,30995,00010673,1942,"Lovelace, Maud Hart",Betsy and Tacy Go Over the big hill
0.00022567589931845878,15,66467,mdp.39015008156047,1923,"Herrick, Robert,",Homely Lilla
0.00022543557373353514,14,62102,uc1.b3337159,1904,"Montespan, Françoise-Athénaïs de Rochechouart de Mortemart,",Secret memoirs of Madame la marquise de Montespan
0.00022539444027047334,12,53240,njp.32101071989857,1922,"France, Anatole,",The amethyst ring
0.00022522522522522523,20,88800,00010840,1947,"Buck, Pearl S.",The angry wife
0.0002251681724788201,16,71058,uc2.ark:/13960/t4bn9xd9v,1910,"Hazard, R. H.",The house on stilts;
0.0002246405750798722,18,80128,00010544,1938,"Dickson, Carter",The Judas window
0.00022443890274314216,18,80200,uc2.ark:/13960/t6j108p1h,1916,"Masefield, John,",Multitude and solitude
